review_id,review,sentiment,language,review_length,source
R0011,"I was 19 or 20, years old at the time and living in Salt Lake City, Utah and I still remember the new dome theater, called the century 21. Layback chairs that rocked and a new sound system, large screen and huge open space between the screen and the packed theater. We felt all the excitement of a new preview screening of a film. Ta da da daa da ta da dada dada... I can still hear the opening music ringing trumpet and the crash of cymbals. I loved the interplay of characters and the filmed vistas. I know Peter Finch and Luv and Sally had some trouble with the lip-sink but hey, this was a feel good, go feel better about things film! What I regret is the way they cut the meaningful heart out of it, showed the cut version and then called it a flop. I saw the cut version and I can see it lost its view of the vision it had in the preview edition. Yes I wince a bit at Peter's effort to make love through music but, you know I didn't see it that way when I left the theater. when they surveyed us as we left I regret any comment I made that may have altered the original. I liked it then and still see it while I listen to the music on my LP. Most of my family has heard me sing much of the sound track and I can use the films monologues in our games of ""what movie is this"". I wish a director's cut on DVD was available. It is available on VHS but its not quite the same. I would particularly like a full serious lord of the rings style commentary about its origins, struggles and triumphs. Picky people should leave things well enough alone. Bring it back!!!!",positive,en,311,IMDB
R0012,"Si encuentras los primeros 30 minutos de esta película para ser tan lentos que te preguntas por qué lo estás viendo, no te rindas.Además, al escuchar el idioma danés es un poco nuevo para la mayoría de los norteamericanos, que no ven y escuchan muchas películas danés.De todos modos, a medida que avanzaba la película, mejoraba y mejoraba el espectador, y el espectador es recompensado por su paciencia. Debe un fanático de la película: ""Fuera de África"", esta película picado mi interés porque se basa en una novela corta de ISAK Dinesen(Karen Blixen), el personaje principal de esa película. La comida, la fiesta de la niñeta, fue increíble.No soy chef, ¡pero me impresionó!Muy, también se interpreta la historia, varía, supongo que dependiendo de cuánto leíste en esto, y donde se mantiene en cuanto a la religión.Si este último, cómo observa la definición de ""legalismo"" puede afectar la forma en que interpreta esta historia. En cualquier caso, es una película fina, pero no vea esto si está haciendo dieta.",positive,es,168,IMDB
R0013,"No tengo palabras para describir lo buena que es esta película.Solo un genio como Amrita Pritam podría haber escrito una descripción tan real de los días de partición.La película me seguía empañando durante muchos días. La Mila hizo el papel de su vida en esta película.Ella puso la vida en el papel de Puroo y Manoj Vajpai no hizo menos en su papel de Rashid.Es difícil imaginar a nadie más que estos dos haciendo el papel de Puroo y Rashid.Los disfraces de Punjabi se veían tan naturales en Urmila y Manoj parecía un Mussalmaan Natural Punjabi.sandhali Sinha como Lajjo y Suri como Ramchand hizo un trabajo fabuloso.Priyanshu Chattarjee hizo buen trabajo como Triloki. Algunas de las escenas que simplemente no puedes salir de tu mente.Cuando Puroo se encuentra con Lajjo por primera vez, trae lágrimas a los ojos.El clímax es solo asesino.Estaba esperando un final trágico, pero afortunadamente, el final fue maravilloso. Esta película está en la misma categoría que Pakeejah, Mughal-e-Azam, Banaras, etc. No se puede perder.",positive,es,168,IMDB
R0014,"96 minutes of this is cruel..and I love the old Munster's. Yes, the plot is thing; yes the lines are trite; but whoever was at the helm of this was not a fan. There is so much 'intrigue' (and I use that word with great pause) that I wonder if it's an old Starsky & Hutch episode. I lost count of the number of times I noticed that makeup had missed a spot near the collar. Refusing to acknowledge that any time had passed since the mid-60's (ludicrous) the producers simply replace Marilyn & Eddie with younger actors. Why not let them grow and age? The addition of an Addam's Family style reunion does not add to the flavor of the Halloween Party.Grandpa & Herman fly to Transylvania and back in a few hours (preposterous.) Sid Ceaser is the most, yes the most unbelievable character (I am including the bad robots) since he babbles an unwild combination of gibberish & yiddish but claims to be an ancient Arabic ruler. And yes, it looks like the laugh track is missing. In fact, there are several spots where there is dead air, as if the laugh track was to be inserted later. The actors seem to wait on the faux audience. It's not laughable; it's sad. Oh, and the best part! Yvonne DeCarlo has a line that just goes to show you how out of touch the writers and producers were. Marilyn says something like: ""Where could Uncle Herman and Grandpa be? They could have been in an accident. They could have been hit by a car...or a train!"" Lily says responds with something like: ""You're Uncle Herman will be here if he has to drag himself off the train track."" What's amazing about this is: Yvonne DeCarlo's husband was a stuntman in the early 60's and lost a leg and was nearly killed in a train stunt. He never recovered and this financially devastated her family. (check out Biography's fantastic review of her life and career) This line could have been easily changed to be more sensitive to her.If you are a real fan of the Munster's then you'll have to RENT this mess. It illustrates how some things are better left alone. Even with the (nearly) original cast, this is almost as bad as the attempted remake of the show a few years ago.",negative,en,394,IMDB
R0015,"I'd have to say this is one of the best animated films I've ever seen. I liked it the first time but really appreciated it on the second viewing, just a few weeks ago. I can see why sequel is doing such great business at the box office. Apparently, a lot of people liked this movie.A gorgeous color palette (man, this looks good) and a lot of good adult (but clean) humor make this a big winner. The opening 3-4-minute scene with ""Scat,"" is excellent as are subsequent interludes with him. ""Sid"" the sloth (voiced by John Leguizano), however, provides the main humor in the movie. He usually has something funny to say throughout the movie.Ray Romano is the voice of the mammoth, the big character of the film, literally, while Denis Leary is the ferocious bad-guy-turned-good sabertooth tigerThis isn't just humor and pretty colors but a nice, sentimental story of how a little baby softens up a couple of tough characters. This isn't interrupted with a lot of songs, either: one only brief one and there is nothing offensive, language-wise.If more animated movies were this good, I'd own more.",positive,en,190,IMDB
R0016,"In the year 2000 (keep in mind, this is two years ago, not four), two men had the motivation to create the most miraculous piece of art on this side of the Mississippi.Thanks to Jere Cunningham and Tom Flynn, the world can now enjoy Second String, a delicious TV movie depicting a tale of a rag-tag gang of second stringers (thus the title) who are thrust into the position of starters due to an order of bad oysters.Because of the motivational direction of both the director Robert Lieberman and the Buffalo Bills' last minute QB, Dan ""Give 'em hell"" Heller (portrayed by Canadian actor, Gil Bellows) the oft Super Bowl snake-bitten Bills find themselves in the ultimate position.With an intriguing mix of internal and external conflict, a love story, comraderie that only the fine sport of football can bring, and an overall theory that the underdog can compete, Second String is an excellent movie worthy of viewing every possible moment that it appears on TNT.The only thing potentially bad about this production is the spelling of the Costume Designer's first name, Jenifur Jarvis.",positive,en,183,IMDB
R0017,"Oh it really really is. I've seen films that I disliked more, due to whatever reason, but never have I seen a film that just fails in every single aspect of film making. It even fails to fail at film making, in a Way the Hercules in New York could be said to do. It's not the film I like the least, but it is the very worst film I've ever seen.The acting is the first thing that strikes you. I've never seen a worse acted film outside of pornography. In fact I've plenty of pornographic films that are acted a damn site better than this. It really is awful.Technically, it's terrible. The camera-work is amateurish. The editing is nonsensical. I presume they couldn't afford proper sound equipment, and this meant that every scene in a car (and there's a lot of them) has them driving at about three miles per hour and every scene set outside by the same patch of woods (and there's a lot of them too) is actually dubbed from a studio, again lending more to the bad porn vibe.The plot is nonsensical, as many have pointed out. I'll defend vampires walking in daylight by the fact that despite it being popularized by Nosferatu, this was never originally an intrinsic part of the vampire mythos.Speaking of vampire mythos, the writer had evidently read Carmilla, or at very least seen The Vampire Lovers. I'm not sure how I feel about this, swaying from impressed that a movie this dire has at least some aspirations to a Gothic novel I'm very fond of; or annoyed by its at best sledgehammer references and at worst total desecration of source material. At very least 'the General' is an insult to Peter Cushing though.It gets two stars however, merely because I can't bring myself to vote one star for a film that has, or at least purports to have, both vampires and zombies in it. Incidentally I watched Lifeforce (another film that tenuously has vampires and zombies in it) on the same day as this, and despite being a rather flawed film itself, really comes out a masterpiece compared to this.So in the end, this is not a film so bad it's good, or so bad it's in any way enjoyable, even drunk. It's just a mess, and worth no-one's time watching.",negative,en,391,IMDB
R0018,"Lovingly crafted and terribly interesting to watch Garfield's gritty, breakthrough performance (introducing a new kind of rebellious acting style that would carry over to the Brandos and Clifts and so on after the war) but all that sisterly affection is a bit suffocating. Priscilla Lane is a bright, engaging performer but the other sisters don't really register (though they're all allowed to be tart and witty) and I just had a hard time buying any of the other male characters besides Garfield. Jeffrey Lynn is a pleasant enough actor, but he lacks the movie star weight to match up with Garfield's hard luck Mickey Borden and that throws the film a bit out of whack. (Imagine a Jimmy Stewart or someone in the part.) Also, I was not convinced that Garfield would make the pivotal (to say the least) final decision that he made. The film needed another half hour of running time to better explain that action; it feels awfully rushed and under-motivated.Still, it's not hard to understand how anybody who grew up with this picture would remember it fondly. It falls short of being a classic, but it does contain a few classic moments. The two gate swinging scenes are pure movie magic.",positive,en,205,IMDB
R0019,"Este primer vehículo de Pia Zadora, siguió a una fórmula familiar de Harold Robbins: los ambiciosos se revuelven el personaje principal en decadencia mientras perseguían el camino a la cima de un mundo aleatoriamente elegido pero glamoroso, en este caso la industria cinematográfica. Pero a pesar de ser tan fórmulo como para ser completamente predecible, esta película administra al mismo tiempo para ser completamente increíble. Zadora (para llamarla inexperta como actriz es ser caritativa) nunca convence como guionista. Uno esperaría que una película sobre la toma de películas tenga algunas ideas sobre su propia industria y un proceso creativo. Pero el guión no le da ninguna de las cualidades que hacen que los escritores personajes de películas interesantes: la observancia, la habilidad con las palabras, una relación de amor-odio con las propias habilidades creativas. Su carácter está tan vacío como un agujero de rosquilla. Y esto es solo un sabor de la incompetencia en la pantalla aquí. La cinematografía es tan turbia que a veces es difícil ver lo que está sucediendo. Y las escenas nunca se juntan realmente, así que todo parece una sucesión de momentos aleatorios en Bad Hollywood Fiest. Evitar.",negative,es,193,IMDB
R0020,"Una obra de O'Neill de cuatro horas y media se reduce a un poco menos de dos años, y gran parte de ese tiempo de funcionamiento se dedica a los actores con expresiones congeladas en sus caras, ya que leían los pensamientos de sus personajes en off-over. . Puede trabajar en el escenario, pero se ve hilarantemente obligado en esta adaptación de la ópera de jabón, que suaviza el mal comportamiento de su heroína y nunca explica por qué ha cautivado tanto a muchos hombres. Norma Shearer y Alexander Kirkland, sobreactivándose ridículamente, son sobresalidos por un Gable Naturalista Clark, es el único que hace el trabajo de la técnica congelada. Se vuelve aún más divertido cuando el hijo de Shearer y Gable, un moppet más hoscente, hace el Shtick Frozen-Face. También hay el hermano de Frank Morgan Ralph como un pretendiente fallido, dado a Soliloquizing ""Poor Charlie!"" Una y otra vez, y un joven Robert Young y Maureen O'Sullivan. Para cuando se presentan, la voz se ha abandonado en gran medida, y juega como un jabón maduro, con un despliegue sentimental que realmente juega ""hilos de plata entre el oro"" como música de fondo. La dirección de Robert Leonard es Stodgy y muestra pequeñas instalaciones para reinar en actores hiperactivos. Ciertamente es entretenido, no hay nada más como él, a menos que cuente la parodia satírica de Groucho en ""Galletas de animales"" o una vieja revista Mad Magazine Sátira que rindió la comedia de SHIRLEY BOOTH ""HAZEL"" A LA ""Strange Interlude"". Pero no es bueno.",negative,es,255,IMDB
R0021,"I really hoped for the best with this one, but it just didn't happen. Financed at a very non-dutch manner and still looking great, with a style and pace that's very much like Hollywood. What I don't understand is how-with all these great benefits- the director,writer,producer still managed to make this film a completely horrible picture to watch. Filled with bad jokes, cheap nudity and actors that just can't really talk [act] in the english language. Kudo's for pulling it off, but what was this guy thinking!",negative,en,87,IMDB
R0022,"El escritor y director Robert Downey, Sr., un pionero del movimiento de cine metro en la década de 1960, satirizó el mundo de la publicidad de Nueva York Madison Avenue con su comedia de vanguardia ""PUTNEY SHAPT"". Downey no confina su ridículo a la publicidad, sino que aborda la cultura militante negra, la dinámica en la representación de la raza de Hollywood, la estructura de poder de élite y el carácter de la corrupción en cualquier lucha de poder. Tan audaz y ambicioso, ya que ""Putney Swope"" se esfuerza por ser, califica como una película terrible, aficionadamente hecha en un presupuesto de zapatos con un lanzamiento y humor sin nombre que carece de hilaridad. Todo sobre esta película se escucha con la improvisación. ""PUTNEY SHAPE"" agitó la controversia durante su lanzamiento inicial con su manejo políticamente incorrecto de problemas de raza y cultura del consumidor. Como la mayoría de las películas de Marx Brothers, la parcela es delgada, proporcionando una excusa para las gags anecdóticas de Downey, la mayoría de las cuales son terribles. El presidente de una prestigiosa agencia de anuncios de Madison Avenue muere durante una reunión de la Junta. Antes de que se haya eliminado el cuerpo, la Junta tiene una votación secreta de votar para determinar quién lo reemplazará. Cada miembro entiende que están prohibidos para votar por sí mismo. Pura accidente ocurre cuando todos votan por el miembro negro de la token, Putney Swope (Arnold Johnson), ya que ninguno pensó que nadie le hiciera un voto. Swope Pink se desliza todos menos uno de los ejecutivos blancos, se envuelve a sí mismo con los empleados de la pistola negra, de la pistola, y cambia los nombres de la firma ""La verdad y la publicidad del alma"". PAYO decide alterar la cara de la publicidad estadounidense. Se niega a aceptar clientes cuyos productos son alcohol, tabaco o juguetes de guerra. Los clientes de SHAPE se registran un éxodo después de que se convierta en el CEO, y las nietas atraen a una nueva alineación de clientes que aparecen en sus bolsas de dinero de su oficina y se preparan para sufrir abusos de los empleados militantes de Swope. Swope explota a su personal afroamericano, también apropiadamente apropiadamente sus ideas después de que los despiertan y evoca una serie de campañas de publicidad ofensivas, todas las cuales son aclamadas como una ""nueva ola"" del genio de la comercialización. Increíblemente, el conservadurismo de SWOPE resulta exitoso, pero la Agencia se convierte en el objetivo de los operadores gubernamentales que argumentan que las tácticas publicitarias de Swope constituyen ""una amenaza para la seguridad nacional"". El punto alto de esta comedia en blanco y negro de 85 minutos son los comerciales de televisión en color. Desafortunadamente, Downey no sabe cuándo cortar estos anuncios que se inician constantemente, pero desgastan su bienvenida. La parte más divertida de ""Putney Swope"" involucra nuestros tratos de protagonistas del homosexual con el presidente MIMEO de los Estados Unidos en Washington DC (Pepi Hermine), un enano de Marihuana-Toking con un asesor teutónico de Kishuana (Larry Wolf) que escupe bromas sin sabor mientras intenta convencer a SWOPE a Sube una campaña publicitaria para su nuevo automóvil, el Borman 6.",negative,es,532,IMDB
R0023,"The eight Jean Rollin film I have watched is also possibly the weirdest; the intriguing plot (such as it is) seems initially to be too flimsy to sustain even its trim 84 minutes but it somehow contrives to get inordinately muddled as it goes along! A would-be female vampire (scantily-clad, as promised by the title) is held in captivity inside a remote château and emerges only to 'feast' on the blood of willing victims (who are apparently members of a suicide club) As if unsure where all of this would lead him, the writer-director ultimately has the human villain  actually the blank-faced hero's kinky father  ludicrously revealed as a mutant(?!) from the future! The languorous pace and dream-like atmosphere (the cultists wear hoods and animal masks to hide their features from the sheltered girl) are, of course, typical of both the film-maker (ditto the seashore setting at the {anti}climax) and the ""Euro-Cult"" style, as are the bevy of nubile beauties on display Personally, the most enjoyable thing about the whole visually attractive but intellectually vacuous affair was watching familiar character actor Bernard Musson (who appeared in six latter-day Luis Bunuel films) crop up bemusedly through it from time to time!",negative,es,202,IMDB
R0024,"Con toda la marca, esta es una película suave sobre el amor joven.Sí, es cierto que el amor joven a menudo hace más de algo de lo que merece, pero ¿por qué no son personas en ""Romeo y Juliet""?Paul y Michelle son modelos de buenos comportamientos en comparación con ellos. Sí, se escapan y crean una vida ideal, pero esta es una película, no la vida real.Pablo está más interesado sexualmente que Michelle, quien se ha hecho de mala manera.Finalmente, tienen relaciones sexuales, pero nadie se ve obligado a entrar en él.La película permite que los niños sepan que el sexo puede causar bebés. Una cosa, hay desnudez en las películas.La cámara no se enfoca en ella, pero está ahí. El final de la película tiene a Pablo en buenas posibilidades de ser enterrado.En ""Paul y Michelle"", se separan por un tiempo.Si no te gusta el final de una película, piensa uno mismo.Los finales alternativos no son solo para DVD.",positive,es,160,IMDB
R0025,"Lo sé ... Lo sé: Es difícil (si no paradójico) porque hay algo como ""creíble"" de fantasía.Pero, para mí, también hay una afección en la que la increíble interfiere, o distrae de mi opinión general de la película.Este último fue el caso para mí con respecto a Goliat.No solo tuve demasiadas preguntas sin respuesta con respecto a la historia, pero algunas de las actuaciones, también, pensé, fue un poco sobre lo alto.(Tal vez, sin embargo, fue la escritura: pidiéndoles que recitan demasiadas reacciones trilladas, predecibles, clichadas (sobre-?)). Otros han dicho lo suficiente sobre la trama.Solo deseo que haya terminado, y creo que podría haber sido, más convincentemente.P. S.: Este es un comentario fresco sobre esta película, acabo de terminar de verlo hace un par de minutos;No es un recuerdo de hace años.",negative,es,132,IMDB
R0026,"As this movie unfolds you start to feel the conundrum of human existence. If you carry with you questions, inner wars, unsolved puzzles about the meaning of life then you will feel this movie with every morsel of your body. Charles Darwin begins a war with an utterly predictable ending. War with God. His theories resemble the fact that God has nothing to do with mankind, has nothing to do with the amazing World that we live in. Savage, harsh, ironic and chaotic, this words surround the mind of the character thrown into an universe of material truth, who slowly pushes hope for God, out from his mind. Nevertheless, the movie as Charles Darwin, still sees wonder and beauty beyond God in the universe of infinite Evolution.",positive,en,127,IMDB
